asymmetric_NFA,asymmetric_smi,num_reports_asym,asym_med_PCE,symmetric_NFA,symmetric_smi,sym_med_PCE,num_reports_sym,donor,type,difference
IDTT-Cl-2F,O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC4=C(C5=C(S4)C(C=C6C(C7=CC=C(C=C7)CCCCCC)(C8=C(SC9=C8SC(/C=C%10/C(C%11=C(SC(Cl)=C%11)C%10=O)=C(C#N)/C#N)=C9)C6=C%12)C%13=CC=C(C=C%13)CCCCCC)=C%12C5(C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(C=C%15)CCCCCC)S3)=C(C#N)\C#N,1,13.1,IT-4F,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C%14=CC(F)=C(F)C=C%14C%13=C(C#N)C#N)C2)C(=O)C%15=CC(F)=C(F)C=C%151,13.98,2,PBDB-T-2Cl,end_group,-0.88
IDTT-M-2F,O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC4=C(C5=C(S4)C(C=C6C(C7=CC=C(C=C7)CCCCCC)(C8=C(SC9=C8SC(/C=C%10/C(C%11=C(SC(C)=C%11)C%10=O)=C(C#N)/C#N)=C9)C6=C%12)C%13=CC=C(C=C%13)CCCCCC)=C%12C5(C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(C=C%15)CCCCCC)S3)=C(C#N)\C#N,1,11.4,IT-4F,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C%14=CC(F)=C(F)C=C%14C%13=C(C#N)C#N)C2)C(=O)C%15=CC(F)=C(F)C=C%151,12.06,12,PBDB-TF,end_group,-0.66
IDTT-Br-2F,N#C/C(C#N)=C1C(C(C2=C/1C=C(Br)S2)=O)=CC3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4C=C9C(C%10=C(C9(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=C(C=C(C=C%14C(C(C=C(F)C(F)=C%15)=C%15/C%14=C(C#N)\C#N)=O)S%13)S%10)=C8)=C5S3,1,12.1,IT-4F,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C%14=CC(F)=C(F)C=C%14C%13=C(C#N)C#N)C2)C(=O)C%15=CC(F)=C(F)C=C%151,12.06,12,PM6,end_group,0.04
BTP-S9,O=C1C2=CC3=C(C=C(F)C(F)=C3)C=C2C(/C1=C/C4=C(CCCCCCCCC)C(SC5=C6N(C7=C5C8=NSN=C8C9=C7N(C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=C(Cl)C(Cl)=C%13)=C(C#N)/C#N)=C%11CCCCCCCCC)CC(CCCCCC)CCCC)CC(CCCCCC)CCCC)=C6S4)=C(C#N)/C#N,1,17.42,BTP-eC9,N#C/C(C#N)=C1C(C(C2=CC(Cl)=C(C=C2\1)Cl)=O)=CC3=C(CCCCCCCCC)C(SC4=C5N(CC(CCCCCC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CCCCCC)CCCC)C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=C(C=C%12/C%11=C(C#N)/C#N)Cl)=O)=C%10CCCCCCCCC)=C5S3,17.34,8,PM6,end_group,0.08
IDTT-Cl-2F,O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC4=C(C5=C(S4)C(C=C6C(C7=CC=C(C=C7)CCCCCC)(C8=C(SC9=C8SC(/C=C%10/C(C%11=C(SC(Cl)=C%11)C%10=O)=C(C#N)/C#N)=C9)C6=C%12)C%13=CC=C(C=C%13)CCCCCC)=C%12C5(C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(C=C%15)CCCCCC)S3)=C(C#N)\C#N,1,12.4,IT-4F,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C%14=CC(F)=C(F)C=C%14C%13=C(C#N)C#N)C2)C(=O)C%15=CC(F)=C(F)C=C%151,12.06,12,PBDB-TF,end_group,0.34
BTP-S8,O=C1C2=CC3=C(C=C2C(/C1=C/C4=C(C5=C(S4)C(N(CC(CCCC)CCCCCC)C6=C7C8=NSN=C8C9=C6N(CC(CCCC)CCCCCC)C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C=C(C(Cl)=C%13)Cl)C%12=O)=C(C#N)/C#N)=C%11CCCCCCCCCCC)=C7S5)CCCCCCCCCCC)=C(C#N)/C#N)C=C(C(F)=C3)F,1,17.05,Y7-BO,N#C/C(C#N)=C1C(C(C2=CC(Cl)=C(Cl)C=C2/1)=O)=CC3=C(C4=C(S3)C(N(C5=C6C7=NSN=C7C8=C5N(C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=C(Cl)C=C%12/C%11=C(C#N)/C#N)=O)=C%10CCCCCCCCCCC)CC(CCCC)CCCCCC)CC(CCCC)CCCCCC)=C6S4)CCCCCCCCCCC,16.55,4,PM6,end_group,0.5
BTP-S8,O=C1C2=CC3=C(C=C2C(/C1=C/C4=C(C5=C(S4)C(N(CC(CCCC)CCCCCC)C6=C7C8=NSN=C8C9=C6N(CC(CCCC)CCCCCC)C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C=C(C(Cl)=C%13)Cl)C%12=O)=C(C#N)/C#N)=C%11CCCCCCCCCCC)=C7S5)CCCCCCCCCCC)=C(C#N)/C#N)C=C(C(F)=C3)F,1,17.05,BT-BO-L4F,O=C1C2=CC3=C(C=C(F)C(F)=C3)C=C2C(/C1=C/C4=C(CCCCCCCCCCC)C(SC5=C6N(C7=C5C8=NSN=C8C9=C7N(C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C%12=O)C=C(C=C(F)C(F)=C%14)C%14=C%13)=C(C#N)/C#N)=C%11CCCCCCCCCCC)CC(CCCCCC)CCCC)CC(CCCCCC)CCCC)=C6S4)=C(C#N)/C#N,16.26,2,PM6,end_group,0.79
AC9,O=C1C2=CC(Cl)=C(C=C2C(/C1=C/C3=C(CCCCCCCCC)C(SC4=C5N(C6=C4C7=NSN=C7C8=C6N(C9=C8SC%10=C9SC(/C=C%11/C(C%12=CSC(Cl)=C%12C%11=O)=C(C#N)\C#N)=C%10CCCCCCCCC)CC(CCCCCC)CCCC)CC(CCCCCC)CCCC)=C5S3)=C(C#N)\C#N)Cl,1,18.15,BTP-eC9,N#C/C(C#N)=C1C(C(C2=CC(Cl)=C(C=C2\1)Cl)=O)=CC3=C(CCCCCCCCC)C(SC4=C5N(CC(CCCCCC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CCCCCC)CCCC)C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=C(C=C%12/C%11=C(C#N)/C#N)Cl)=O)=C%10CCCCCCCCC)=C5S3,17.35,8,PM6,end_group,0.8
IDTT-Br-2F,N#C/C(C#N)=C1C(C(C2=C/1C=C(Br)S2)=O)=CC3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4C=C9C(C%10=C(C9(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=C(C=C(C=C%14C(C(C=C(F)C(F)=C%15)=C%15/C%14=C(C#N)\C#N)=O)S%13)S%10)=C8)=C5S3,1,11.4,ITCC-Br,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C=%14SC(Br)=CC%14C%13=C(C#N)C#N)C2)C(=O)C=%15SC(Br)=CC%151,10.5,1,PBDB-T-2Cl,end_group,0.9
IDTT-Br-2F,N#C/C(C#N)=C1C(C(C2=C/1C=C(Br)S2)=O)=CC3=CC(SC4=C5C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C4C=C9C(C%10=C(C9(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C%13=C(C=C(C=C%14C(C(C=C(F)C(F)=C%15)=C%15/C%14=C(C#N)\C#N)=O)S%13)S%10)=C8)=C5S3,1,12.1,ITCC-Br,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C=%14SC(Br)=CC%14C%13=C(C#N)C#N)C2)C(=O)C=%15SC(Br)=CC%151,10.7,1,PM6,end_group,1.4
AC9,O=C1C2=CC(Cl)=C(C=C2C(/C1=C/C3=C(CCCCCCCCC)C(SC4=C5N(C6=C4C7=NSN=C7C8=C6N(C9=C8SC%10=C9SC(/C=C%11/C(C%12=CSC(Cl)=C%12C%11=O)=C(C#N)\C#N)=C%10CCCCCCCCC)CC(CCCCCC)CCCC)CC(CCCCCC)CCCC)=C5S3)=C(C#N)\C#N)Cl,1,18.15,C9-2TC,O=C1C2=C(Cl)SC=C2C(/C1=C/C3=C(CCCCCCCCC)C(SC4=C5N(C6=C4C7=NSN=C7C8=C6N(C9=C8SC%10=C9SC(/C=C%11/C(C%12=CSC(Cl)=C%12C%11=O)=C(C#N)\C#N)=C%10CCCCCCCCC)CC(CCCCCC)CCCC)CC(CCCCCC)CCCC)=C5S3)=C(C#N)\C#N,16.66,1,PM6,end_group,1.49
BTP-2F-ThCl,O=C1C2=CC(F)=C(F)C=C2C(/C1=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(C6=C4C7=NSN=C7C8=C6N(C9=C8SC%10=C9SC(/C=C%11/C(C%12=CSC(Cl)=C%12C%11=O)=C(C#N)\C#N)=C%10CCCCCCCCCCC)CC(CCCC)CC)CC(CCCC)CC)=C5S3)=C(C#N)\C#N,2,17.09,Y6,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(F)=C(F)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(F)=C(F)C=C%121,15.6,40,PM6,end_group,1.49
IDTT-M-2F,O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC4=C(C5=C(S4)C(C=C6C(C7=CC=C(C=C7)CCCCCC)(C8=C(SC9=C8SC(/C=C%10/C(C%11=C(SC(C)=C%11)C%10=O)=C(C#N)/C#N)=C9)C6=C%12)C%13=CC=C(C=C%13)CCCCCC)=C%12C5(C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(C=C%15)CCCCCC)S3)=C(C#N)\C#N,1,11.4,ITCC-M,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C=%14SC(=CC%14C%13=C(C#N)C#N)C)C2)C(=O)C=%15SC(=CC%151)C,9.2,1,PBDB-TF,end_group,2.2
LL3,O=C1C2=CC3=C(C4C3C5C=CC4C5)C=C2C(/C1=C/C6=C(CCCCCCCC)C(SC7=C8N(C9=C7C%10=NN(CC(CCCC)CC)N=C%10C%11=C9N(C%12=C%11SC%13=C%12SC(/C=C%14/C(C%15=C(C%14=O)C=C(Cl)C(Cl)=C%15)=C(C#N)\C#N)=C%13CCCCCCCC)CC(CC)CCCC)CC(CC)CCCC)=C8S6)=C(C#N)\C#N,1,16.43,LL3-2Cl,O=C1C2=CC(Cl)=C(Cl)C=C2C(/C1=C/C3=C(CCCCCCCC)C(SC4=C5N(C6=C4C7=NN(CC(CCCC)CC)N=C7C8=C6N(C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(Cl)C(Cl)=C%12)=C(C#N)\C#N)=C%10CCCCCCCC)CC(CC)CCCC)CC(CC)CCCC)=C5S3)=C(C#N)\C#N,14.16,1,PBDB-T,end_group,2.27
BTP-2F-ThCl,O=C1C2=CC(F)=C(F)C=C2C(/C1=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(C6=C4C7=NSN=C7C8=C6N(C9=C8SC%10=C9SC(/C=C%11/C(C%12=CSC(Cl)=C%12C%11=O)=C(C#N)\C#N)=C%10CCCCCCCCCCC)CC(CCCC)CC)CC(CCCC)CC)=C5S3)=C(C#N)\C#N,2,17.09,BTP-2ThCl,N#C/C(C#N)=C1\C(C(C2=C(Cl)SC=C21)=O)=C\C3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCC)CC)C6=C4C7=NSN=C7C8=C6N(CC(CCCC)CC)C9=C8SC%10=C9SC(C=C%11C(C%12=C(Cl)SC=C%12/C%11=C(C#N)/C#N)=O)=C%10CCCCCCCCCCC)=C5S3,14.33,1,PM6,end_group,2.76
IDTT-M-2F,O=C1C(C=C(F)C(F)=C2)=C2C(/C1=C/C3=CC4=C(C5=C(S4)C(C=C6C(C7=CC=C(C=C7)CCCCCC)(C8=C(SC9=C8SC(/C=C%10/C(C%11=C(SC(C)=C%11)C%10=O)=C(C#N)/C#N)=C9)C6=C%12)C%13=CC=C(C=C%13)CCCCCC)=C%12C5(C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(C=C%15)CCCCCC)S3)=C(C#N)\C#N,1,11.5,ITCC-M,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C=%14SC(=CC%14C%13=C(C#N)C#N)C)C2)C(=O)C=%15SC(=CC%151)C,8.7,1,PBDB-T-2Cl,end_group,2.8
LL2,O=C1C2=CC3=C(C4C3C5C=CC4C5)C=C2C(/C1=C/C6=C(CCCCCCCCCCC)C7=C(C8=C(S7)C(C9=NSN=C9C%10=C%11N(C%12=C%10SC%13=C%12SC(/C=C%14/C(C%15=C(C%14=O)C=C(Cl)C(Cl)=C%15)=C(C#N)/C#N)=C%13CCCCCCCCCCC)CC(CC)CCCC)=C%11N8CC(CC)CCCC)S6)=C(C#N)\C#N,1,14.51,BTP-4Cl,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(Cl)=C(Cl)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(Cl)=C(Cl)C=C%121,11.5,1,PBDB-T,end_group,3.01
LL4,O=C1C2=CC3=C(C=C2C(/C1=C/C4=C(C5=C(S4)C(N(CC(CCCC)CC)C6=C7C8=NSN=C8C9=C6N(CC(CCCC)CC)C%10=C9SC%11=C%10SC(/C=C%12/C(C%13=C(C=C(C(Cl)=C%13)Cl)C%12=O)=C(C#N)/C#N)=C%11CCCCCCCC)=C7S5)CCCCCCCC)=C(C#N)\C#N)C%14C3C%15C=CC%14C%15,1,14.91,LL4-2Cl,O=C1C2=CC(Cl)=C(C=C2C(/C1=C/C3=C(C4=C(S3)C(N(CC(CCCC)CC)C5=C6C7=NSN=C7C8=C5N(CC(CCCC)CC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C=C(C(Cl)=C%12)Cl)C%11=O)=C(C#N)/C#N)=C%10CCCCCCCC)=C6S4)CCCCCCCC)=C(C#N)\C#N)Cl,11.61,1,PBDB-T,end_group,3.3
ICCl-IDTT-BOACl,N#C/C(C1=NC2=C(C=CC(Cl)=C2)O1)=C\C3=CC4=C(S3)C5=C(S4)C6=CC7=C(C=C6C(C8=CC=C(C=C8)CCCCCC)5C9=CC=C(C=C9)CCCCCC)C(S%10)=C(C(C%11=CC=C(C=C%11)CCCCCC)7C%12=CC=C(C=C%12)CCCCCC)C(S%13)=C%10C=C%13/C=C%14C(C(C=C(Cl)C(Cl)=C%15)=C%15C\%14=C(C#N)\C#N)=O,1,7.63,IDTT-BOACl,N#C/C(C1=NC2=C(C=CC(Cl)=C2)O1)=C\C3=CC4=C(S3)C5=C(S4)C6=CC7=C(C=C6C(C8=CC=C(C=C8)CCCCCC)5C9=CC=C(C=C9)CCCCCC)C(S%10)=C(C(C%11=CC=C(C=C%11)CCCCCC)7C%12=CC=C(C=C%12)CCCCCC)C(S%13)=C%10C=C%13/C=C(C#N)/C%14=NC%15=C(C=CC(Cl)=C%15)O%14,3.24,1,PBDB-T,end_group,4.39
ITIC-2F_aldrich,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C%15=CC(F)=C(F)C=C%15C%14=C(C#N)C#N)C3,1,10.03,IT-4F,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C%14=CC(F)=C(F)C=C%14C%13=C(C#N)C#N)C2)C(=O)C%15=CC(F)=C(F)C=C%151,12.06,12,PM6,halogenation,-2.03
BTP-2F-2Cl,N#C/C(C#N)=C1C(C(C2=CC(F)=C(C=C2\1)F)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCC)CC)C6=C4C7=NSN=C7C8=C6N(CC(CCCC)CC)C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=C(C=C%12/C%11=C(C#N)\C#N)Cl)=O)=C%10CCCCCCCCCCC)=C5S3,1,12.83,Y6,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(F)=C(F)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(F)=C(F)C=C%121,14.3,2,BTR-Cl,halogenation,-1.47
BTP-S1,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C=%11C(Cl)=C(Cl)C(Cl)=C(Cl)C%11C%10=O)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(F)=C(F)C=C%121,1,14.67,Y6,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(F)=C(F)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(F)=C(F)C=C%121,15.6,40,PBDB-TF,halogenation,-0.93
BO-6Cl,O=C1C2=CC(Cl)=C(Cl)C=C2C(/C1=C/C3=C(C4=C(S3)C(N(C5=C6C7=NSN=C7C8=C5N(C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C(Cl)=C(C(Cl)=C%12Cl)Cl)C%11=O)=C(C#N)/C#N)=C%10CCCCCCCCCCC)CC(CCCCCC)CCCC)CC(CCCCCC)CCCC)=C6S4)CCCCCCCCCCC)=C(C#N)\C#N,1,15.77,Y7-BO,N#C/C(C#N)=C1C(C(C2=CC(Cl)=C(Cl)C=C2/1)=O)=CC3=C(C4=C(S3)C(N(C5=C6C7=NSN=C7C8=C5N(C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=C(Cl)C=C%12/C%11=C(C#N)/C#N)=O)=C%10CCCCCCCCCCC)CC(CCCC)CCCCCC)CC(CCCC)CCCCCC)=C6S4)CCCCCCCCCCC,16.55,4,PM6,halogenation,-0.78
BTP-S2,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C=%11C(Cl)=C(Cl)C(Cl)=C(Cl)C%11C%10=O)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CCCC)CCCCCC)CC(CCCC)CCCCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(Cl)=C(Cl)C=C%121,1,15.84,Y7-BO,N#C/C(C#N)=C1C(C(C2=CC(Cl)=C(C=C2\1)Cl)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCCCC)CCCC)C6=C4C7=NSN=C7C8=C6N(CC(CCCCCC)CCCC)C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=C(C=C%12/C%11=C(C#N)/C#N)Cl)=O)=C%10CCCCCCCCCCC)=C5S3,16.55,4,PBDB-TF,halogenation,-0.71
a-ITIC-2Cl,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C%15=CC(Cl)=C(Cl)C=C%15C%14=C(C#N)C#N)C3,1,11.98,IT-4Cl,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C34)C=9SC=%10C=C(SC%10C9C6(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=C%13C(=O)C%14=CC(Cl)=C(Cl)C=C%14C%13=C(C#N)C#N)C2)C(=O)C%15=CC(Cl)=C(Cl)C=C%151,12.39,3,PM6,halogenation,-0.41
SY2,N#C/C(C#N)=C1C(C(C2=CC(F)=C(C=C2\1)F)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCC)CC)C6=C4C7=NSN=C7C8=C6N(CC(CCCC)CC)C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=C(C=C%12/C%11=C(C#N)\C#N)Cl)=O)=C%10CCCCCCCCCCC)=C5S3,1,15.77,Y6-4Cl,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(Cl)=C(Cl)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(Cl)=C(Cl)C=C%121,15.89,6,PBDB-TF,halogenation,-0.12
a-IT-2F,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C%15=CC(F)=C(F)C=C%15C%14=C(C#N)C#N)C3,1,9.97,ITIC,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,10.01,11,PBDB-T,halogenation,-0.04
SY3,N#C/C(C#N)=C1C(C(C2=CC=C(C=C2\1)Cl)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCC)CC)C6=C4C7=NSN=C7C8=C6N(CC(CCCC)CC)C9=C8SC%10=C9SC(C=C%11C(C%12=CC(Cl)=C(C=C%12/C%11=C(C#N)\C#N)Cl)=O)=C%10CCCCCCCCCCC)=C5S3,1,15.96,Y6-4Cl,N#CC(C#N)=C1C(=CC=2SC3=C(SC=4C=5C6=NSN=C6C=7C=8SC9=C(SC(C=C%10C(=O)C%11=CC(Cl)=C(Cl)C=C%11C%10=C(C#N)C#N)=C9CCCCCCCCCCC)C8N(C7C5N(C34)CC(CC)CCCC)CC(CC)CCCC)C2CCCCCCCCCCC)C(=O)C%12=CC(Cl)=C(Cl)C=C%121,15.89,6,PBDB-TF,halogenation,0.07
BTIC-2Cl-yCF3,O=C1C2=CC(Cl)=C(Cl)C=C2C(/C1=C/C3=C(CCCCCCCCCCC)C(SC4=C5N(C6=C4C7=NSN=C7C8=C6N(C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C%11=O)C=C(C(F)(F)F)C=C%12)=C(C#N)\C#N)=C%10CCCCCCCCCCC)CC(CC)CCCC)CC(CC)CCCC)=C5S3)=C(C#N)\C#N,1,16.01,Y6-4Cl,O=C1C2=CC(Cl)=C(C=C2C(/C1=C/C3=C(C4=C(S3)C(N(CC(CCCC)CC)C5=C6C7=NSN=C7C8=C5N(CC(CCCC)CC)C9=C8SC%10=C9SC(/C=C%11/C(C%12=C(C=C(C(Cl)=C%12)Cl)C%11=O)=C(C#N)/C#N)=C%10CCCCCCCCCCC)=C6S4)CCCCCCCCCCC)=C(C#N)\C#N)Cl,15.89,6,PM6,halogenation,0.12
