C_name,C_ID,C_PCE,C_sidechain,Si_name,Si_ID,Si_PCE,Si_sidechain,NFA,don_monomer,difference
J52,41,5.38,EH,J71,49,10.1,Si(C3)3,ITIC,A,4.72
PBZ,41,6.2,EH,J71,49,9.79,Si(C3)3,IT-4F,A,3.59
L68,10,9.1,EH,PBZ-ClSi,374,11.8,Si(C3)3,IT-4F,A,2.7
J52,41,6.55,EH,J71,49,9.4,Si(C3)3,Y6,A,2.85
J52,41,5.89,EH,J71,49,11.77,Si(C3)3,m-ITIC,A,5.88
J52,41,5.89,EH,J74,85,9.47,Si(C1)2C8,m-ITIC,A,3.58
J52,41,5.89,EH,J72,86,9.95,Si(iso)3,m-ITIC,A,4.06
J52,41,5.89,EH,J73,87,10.43,Si(C4)3,m-ITIC,A,4.54
J52,41,5.89,EH,J70,88,11.4,Si(C2)3,m-ITIC,A,5.51
T4,27,12.33,EH,T6,26,15.68,Si(C3)3,N3,A sm,3.35
