nonhalogenated_don_name,nonhalogenated_don_ID,nonhalogenated_PCE,halogenated_don_name,halogenated_don_ID,halogenated_PCE,halogenation_type,NFA,NFA_type,don_monomer_type,difference
PBTA-PS,138,11.52,PBTA-PSF,139,13.6,F,ITIC,nonhalogenated,A,2.08
TTOT,210,6.61,TTOTCl,211,14.29,Cl,Y6,fluorinated,A,7.68
Qx-8F,407,5.97,Qx-10F,408,12.54,F,Y6,fluorinated,E,6.57
Qx-10F,408,12.54,Qx-12F,409,15.1,F,Y6,fluorinated,A,2.56
PE1,306,8.36,PE2,604,5.75,F,BTA3,nonhalogenated,A,-2.61
PBB-H,398,11.9,PBB-F,399,14.3,F,IT-4F,fluorinated,A,2.4
PBB-H,398,11.9,PBB-Cl,400,14.5,Cl,IT-4F,fluorinated,A,2.6
PBDTS-TZNT,163,10.13,PBDTSF-TZNT,164,11.81,F,ITIC,nonhalogenated,A,1.68
PBDTS-TZNT,163,11,PBDTSF-TZNT,164,12.92,F,IT-4F,fluorinated,A,1.92
PDTH-TZNT,174,4.05,PDTF-TZNT,175,9.74,F,IT-M,nonhalogenated,thiophene,5.69
PIDT-phanQ,191,8.72,PIDT-2FphanQ,192,10.5,F,Y6,fluorinated,E,1.78
PIDT-phanQ,191,8.72,PIDT-FphanQ,193,11.3,F,Y6,fluorinated,E,2.58
PBBSe-H,222,8.06,PBBSe-Cl,223,14.12,Cl,Y6,fluorinated,A,6.06
P104,248,8.23,P105,249,10.54,F,ITIC-F,fluorinated,D,2.31
P-P,257,7.32,P-4FP,258,8.7,F,m-ITIC,nonhalogenated,L,1.38
PNTzBDT,273,11.9,PNTzBDT-Cl,271,10,Cl,Y6,fluorinated,A,-1.9
PNTzBDT,273,11.9,PNTzBDT-F,274,12.8,F,Y6,fluorinated,A,0.9
PBDTTzBO,279,4.86,PFBDTTzBO,280,10,F,IT-4F,fluorinated,A,5.14
PBDTTzBO,279,11.61,PFBDTTzBO,280,6.16,F,Y6,fluorinated,A,-5.45
PBT,338,4.7,PFT,337,4.2,F,ITIC,nonhalogenated,D,-0.5
