,reported_acceptor,don_ID,reported_donor,DOI,PCE_avg,donor_type,acc_SMILES_sidechains,don_mon_SMILES,A_count,B_count,C_count,D_count,E_count,F_count,G_count,H_count,I_count,J_count,K_count,L_count
1381,ICPDT-4F,16,PBDB-T-2Cl,10.1021/acs.jpcc.0c09663,5.39,polymer,N#CC(C#N)=C1C(=CC=2SC=3C=4SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C5C4C(C3C2)(CCC)CCC)C=%10SC=%11C=%12SC(C=C%13C(=O)C%14=CC(F)=C(F)C=C%14C%13=C(C#N)C#N)=CC%12C(C%11C%10C7(C%15=CC=C(C=C%15)CCCCCC)C%16=CC=C(C=C%16)CCCCCC)(CCC)CCC)C(=O)C%17=CC(F)=C(F)C=C%171,ClC(C=C1C2=C3C=CSC3=C(C4=CC(Cl)=C(S4)CC(CCCC)CC)C5=C2SC(C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)=C5)=C(S1)CC(CCCC)CC,1,1,0,0,0,0,0,0,0,0,0,0
1382,ICPDT-4F,220,PBDB-T-4Cl,10.1021/acs.jpcc.0c09663,1.04,polymer,N#CC(C#N)=C1C(=CC=2SC=3C=4SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C5C4C(C3C2)(CCC)CCC)C=%10SC=%11C=%12SC(C=C%13C(=O)C%14=CC(F)=C(F)C=C%14C%13=C(C#N)C#N)=CC%12C(C%11C%10C7(C%15=CC=C(C=C%15)CCCCCC)C%16=CC=C(C=C%16)CCCCCC)(CCC)CCC)C(=O)C%17=CC(F)=C(F)C=C%171,CCCCC(CC1=C(Cl)C=C(C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC(Cl)=C(S5)CC(CCCC)CC)C6=C(Cl)C=C(C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC(Cl)=CS%10)S7)S6)S1)CC,1,1,0,0,0,0,0,0,0,0,0,0
1383,BTA91,0,P3HT,10.1021/acs.jpcc.2c01093,1.85,polymer,O=C(N(CC)C(S/1)=S)C1=C/C(C2=NN(CCCCCCCC)N=C23)=CC=C3C4=CC5=C(S4)C6=C(N5CC(CCCC)CC)C7=C(C8=NN(CCCCCCCC)N=C86)C9=C(N7CC(CC)CCCC)C=C(C%10=CC=C(/C=C%11C(N(CC)C(S\%11)=S)=O)C%12=NN(CCCCCCCC)N=C%12%10)S9,CCCCCCC1=CSC=C1,0,0,0,0,0,0,0,0,0,0,0,0
1384,BTA93,0,P3HT,10.1021/acs.jpcc.2c01093,5.31,polymer,O=C(N(CC)/C(S/1)=C(C#N)\C#N)C1=C/C(C2=NN(CCCCCCCC)N=C23)=CC=C3C4=CC5=C(S4)C6=C(N5CC(CCCC)CC)C7=C(C8=NN(CCCCCCCC)N=C86)C9=C(N7CC(CC)CCCC)C=C(C%10=CC=C(/C=C%11C(N(CC)/C(S\%11)=C(C#N)\C#N)=O)C%12=NN(CCCCCCCC)N=C%12%10)S9,CCCCCCC1=CSC=C1,0,0,0,0,0,0,0,0,0,0,0,0
1385,BTIC-OCOMe,12,PBDB-TF,10.1021/acs.jpclett.1c01077,8.1,polymer,N#C/C(C#N)=C1C(C(C2=C\1C=C(OC(C)=O)C=C2)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCC)CC)C6=C4C7=NSN=C7C8=C6N(CC(CCCC)CC)C9=C8SC%10=C9SC(C=C%11C(C%12=C(/C%11=C(C#N)/C#N)C=C(OC(C)=O)C=C%12)=O)=C%10CCCCCCCCCCC)=C5S3,CCCCC(CC1=C(F)C=C(C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC(F)=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)S1)CC,1,1,0,0,0,0,0,0,0,0,0,0
1386,BTIC-COOMe,12,PBDB-TF,10.1021/acs.jpclett.1c01077,13.0,polymer,N#C/C(C#N)=C1C(C(C2=C\1C=C(C(OC)=O)C=C2)=O)=CC3=C(CCCCCCCCCCC)C(SC4=C5N(CC(CCCC)CC)C6=C4C7=NSN=C7C8=C6N(CC(CCCC)CC)C9=C8SC%10=C9SC(C=C%11C(C%12=C(/C%11=C(C#N)/C#N)C=C(C(OC)=O)C=C%12)=O)=C%10CCCCCCCCCCC)=C5S3,CCCCC(CC1=C(F)C=C(C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC(F)=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)S1)CC,1,1,0,0,0,0,0,0,0,0,0,0
1387,ITIC-2Cl-beta,12,PBDB-T2F,10.1021/acs.jpclett.9b01931,10.92,polymer,N#CC(C#N)=C1C=2C=CC=C(Cl)C2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C(Cl)=CC=CC%15C%14=C(C#N)C#N)C3,CCCCC(CC1=C(F)C=C(C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC(F)=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)S1)CC,1,1,0,0,0,0,0,0,0,0,0,0
1388,a-ITIC-2Cl,12,PBDB-T2F,10.1021/acs.jpclett.9b01931,11.98,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C%15=CC(Cl)=C(Cl)C=C%15C%14=C(C#N)C#N)C3,CCCCC(CC1=C(F)C=C(C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC(F)=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)S1)CC,1,1,0,0,0,0,0,0,0,0,0,0
1389,PY5-TTz-CT,3,PBDB-T,10.1021/acs.macromol.2c00515,9.57,polymer,O=C1C2=CC=C(C3=CC(CC(CC)CCCC)=C(C4=NC(SC(C5=C(CC(CC)CCCC)C=C(C6=CC(C(/C7=C/C8=C(CCCCCCCCCCC)C9=C(S8)C%10=C(S9)C%11=C(N%10CC(CCCCCCCC)CCCCCCCCCC)C%12=C(C%13=NSN=C%13%11)C%14=C(N%12CC(CCCCCCCCCC)CCCCCCCC)C%15=C(S%14)C(CCCCCCCCCCC)=C(S%15)/C=C(C(C%16=CC=C(C%17=CC(CC(CC)CCCC)=C(C%18=NC(SC(C%19=C(CC(CC)CCCC)C=CS%19)=N%20)=C%20S%18)S%17)C=C%16%21)=O)/C%21=C(C#N)\C#N)=C(C#N)\C#N)=C(C7=O)C=C6)S5)=N%22)=C%22S4)S3)C=C2C(/C1=C/C%23=C(CCCCCCCCCCC)C(SC%24=C%25N(C%26=C%24C%27=NSN=C%27C%28=C%26N(C%29=C%28SC%30=C%29SC(/C=C%31/C(C%32=C(C%31=O)C=CC=C%32)=C(C#N)/C#N)=C%30CCCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)=C%25S%23)=C(C#N)/C#N,CCCCC(CC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)CC,1,1,0,0,0,0,0,0,0,0,0,0
1390,PY5-TTz-FT,3,PBDB-T,10.1021/acs.macromol.2c00515,12.51,polymer,O=C1C2=CC=C(C3=C(CC(CC)CCCC)C=C(C4=NC(SC(C5=CC(CC(CC)CCCC)=C(C6=CC(C(/C7=C/C8=C(CCCCCCCCCCC)C9=C(S8)C%10=C(S9)C%11=C(N%10CC(CCCCCCCC)CCCCCCCCCC)C%12=C(C%13=NSN=C%13%11)C%14=C(N%12CC(CCCCCCCCCC)CCCCCCCC)C%15=C(S%14)C(CCCCCCCCCCC)=C(S%15)/C=C(C(C%16=CC=C(C%17=C(CC(CC)CCCC)C=C(C%18=NC(SC(C%19=CC(CC(CC)CCCC)=CS%19)=N%20)=C%20S%18)S%17)C=C%16%21)=O)/C%21=C(C#N)\C#N)=C(C#N)\C#N)=C(C7=O)C=C6)S5)=N%22)=C%22S4)S3)C=C2C(/C1=C/C%23=C(CCCCCCCCCCC)C(SC%24=C%25N(C%26=C%24C%27=NSN=C%27C%28=C%26N(C%29=C%28SC%30=C%29SC(/C=C%31/C(C%32=C(C%31=O)C=CC=C%32)=C(C#N)/C#N)=C%30CCCCCCCCCCC)CC(CCCCCCCC)CCCCCCCCCC)CC(CCCCCCCCCC)CCCCCCCC)=C%25S%23)=C(C#N)/C#N,CCCCC(CC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)CC,1,1,0,0,0,0,0,0,0,0,0,0
