NFA_ID,reported_acceptor,NFA_other_names,don_ID,reported_donor,don_other_names,DOI,Voc,Jsc,FF,PCE_max,PCE_avg,PCE_std,acceptor_type,acceptor_class,fused_rings_in_core,donor_type,acc_SMILES_sidechains,acc_SMILES_shortened_sidechains,don_SMILES_sidechains,don_SMILES_shortened_sidechains,don_mon_SMILES
0,BTz-Np,BTz-Np,0,P3HT,P3HT,10.1002/adfm.201504153,0.94,3.52,46,1.53,1.51,0.02,sm,unfused,3,polymer,O=C1C=2C=CC=C3C(C#CC=4SC(=CC4CCCCCC)C5=CC=C(C=6SC(C#CC7=CC=C8C(=O)N(C(=O)C=9C=CC=C7C98)C%10=CC=C%11C=%12C=CC=CC%12C(C%11=C%10)(CCCC)CCCC)=C(C6)CCCCCC)C%13=NSN=C%135)=CC=C(C(=O)N1C%14=CC=C%15C=%16C=CC=CC%16C(C%15=C%14)(CCCC)CCCC)C32,CCc1cc(-c2ccc(-c3cc(CC)c(C#Cc4ccc5c6c(cccc46)C(=O)N(c4ccc6c(c4)C(CC)(CC)c4ccccc4-6)C5=O)s3)c3nsnc23)sc1C#Cc1ccc2c3c(cccc13)C(=O)N(c1ccc3c(c1)C(CC)(CC)c1ccccc1-3)C2=O,CCCCCCC1=CSC(C2=C(CCCCCC)C=C(C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=C(CCCCCC)C=C(C6=C(CCCCCC)C=CS6)S5)S4)S3)S2)=C1,CCc1cc(C)sc1-c1sc(-c2cc(CC)c(-c3sc(-c4cc(CC)c(-c5sc(C)cc5CC)s4)cc3CC)s2)cc1CC,CCCCCCC1=CSC=C1
1,NTz-Np,NTz-Np,0,P3HT,P3HT,10.1002/adfm.201504153,0.9,5.18,60,2.81,2.71,0.08,sm,fused,4,polymer,O=C1C=2C=CC=C3C(C#CC=4SC(=CC4CCCCCC)C5=CC=6C7=NSN=C7C(=CC6C8=NSN=C85)C=9SC(C#CC%10=CC=C%11C(=O)N(C(=O)C=%12C=CC=C%10C%12%11)C%13=CC=C%14C=%15C=CC=CC%15C(C%14=C%13)(CCCC)CCCC)=C(C9)CCCCCC)=CC=C(C(=O)N1C%16=CC=C%17C=%18C=CC=CC%18C(C%17=C%16)(CCCC)CCCC)C32,CCc1cc(-c2cc3c(cc(-c4cc(CC)c(C#Cc5ccc6c7c(cccc57)C(=O)N(c5ccc7c(c5)C(CC)(CC)c5ccccc5-7)C6=O)s4)c4nsnc43)c3nsnc23)sc1C#Cc1ccc2c3c(cccc13)C(=O)N(c1ccc3c(c1)C(CC)(CC)c1ccccc1-3)C2=O,CCCCCCC1=CSC(C2=C(CCCCCC)C=C(C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=C(CCCCCC)C=C(C6=C(CCCCCC)C=CS6)S5)S4)S3)S2)=C1,CCc1cc(C)sc1-c1sc(-c2cc(CC)c(-c3sc(-c4cc(CC)c(-c5sc(C)cc5CC)s4)cc3CC)s2)cc1CC,CCCCCCC1=CSC=C1
2,ITIC,"ITIC, IT-IC, ITIC-0F",0,P3HT,P3HT,10.1002/adma.201601803,0.52,4.22,56.93,1.25,1.22,,sm,fused,7,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCCCCCC1=CSC(C2=C(CCCCCC)C=C(C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=C(CCCCCC)C=C(C6=C(CCCCCC)C=CS6)S5)S4)S3)S2)=C1,CCc1cc(C)sc1-c1sc(-c2cc(CC)c(-c3sc(-c4cc(CC)c(-c5sc(C)cc5CC)s4)cc3CC)s2)cc1CC,CCCCCCC1=CSC=C1
2,ITIC,"ITIC, IT-IC, ITIC-0F",0,P3HT,P3HT,10.1002/bkcs.12614,0.52,4.22,57,1.25,1.22,,sm,fused,7,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCCCCCC1=CSC(C2=C(CCCCCC)C=C(C3=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C5=C(CCCCCC)C=C(C6=C(CCCCCC)C=CS6)S5)S4)S3)S2)=C1,CCc1cc(C)sc1-c1sc(-c2cc(CC)c(-c3sc(-c4cc(CC)c(-c5sc(C)cc5CC)s4)cc3CC)s2)cc1CC,CCCCCCC1=CSC=C1
2,ITIC,"ITIC, IT-IC, ITIC-0F",1,PBDT-NQx,PBDT-NQx,10.1002/adfm.201701491,0.87,16.21,64.6,9.11,8.86,,sm,fused,7,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCCCCCCCC(S1)=CC=C1C(C(C2=CC=C(S2)CCCCCCCC)=NC3=C(C4=CC=C(C5=CC6=C(C(C7=CC=C(CC(CCCC)CCCCCC)S7)=C8C(SC(C9=CC=C(S9)C%10=CC%11=C%12N=C(C(C%13=CC=C(S%13)CCCCCCCC)=NC%12=C(C%14=CC=C(C%15=CC%16=C(C(C%17=CC=C(CC(CCCC)CCCCCC)S%17)=C%18C(SC(C%19=CC=C(S%19)C%20=CC%21=C%22N=C(C(C%23=CC=C(S%23)CCCCCCCC)=NC%22=C(C%24=CC=C(C%25=CC%26=C(C(C%27=CC=C(CC(CCCC)CCCCCC)S%27)=C%28C(SC=C%28)=C%26C%29=CC=C(CC(CCCC)CCCCCC)S%29)S%25)S%24)C=C%21C%30=NC(C%31=CC=C(S%31)CCCCCCCC)=C(N=C%30%20)C%32=CC=C(S%32)CCCCCCCC)C%33=CC=C(S%33)CCCCCCCC)=C%18)=C%16C%34=CC=C(CC(CCCC)CCCCCC)S%34)S%15)S%14)C=C%11C%35=NC(C%36=CC=C(S%36)CCCCCCCC)=C(N=C%35%10)C%37=CC=C(S%37)CCCCCCCC)C%38=CC=C(S%38)CCCCCCCC)=C8)=C6C%39=CC=C(CC(CCCC)CCCCCC)S%39)S5)S4)C=C%40C%41=NC(C%42=CC=C(S%42)CCCCCCCC)=C(N=C%41%43)C%44=CC=C(S%44)CCCCCCCC)=NC3=C%40C=C%43C%45=CC=CS%45,CCc1ccc(-c2nc3c(-c4cccs4)cc4c(cc(-c5ccc(-c6cc7c(-c8ccc(CC)s8)c8sc(-c9ccc(-c%10cc%11c(cc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17cc%18c(cc(-c%19ccc(-c%20cc%21c(-c%22ccc(CC)s%22)c%22sccc%22c(-c%22ccc(CC)s%22)c%21s%20)s%19)c%19nc(-c%20ccc(CC)s%20)c(-c%20ccc(CC)s%20)nc%19%18)c%18nc(-c%19ccc(CC)s%19)c(-c%19ccc(CC)s%19)nc%17%18)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12nc(-c%13ccc(CC)s%13)c(-c%13ccc(CC)s%13)nc%12%11)c%11nc(-c%12ccc(CC)s%12)c(-c%12ccc(CC)s%12)nc%10%11)s9)cc8c(-c8ccc(CC)s8)c7s6)s5)c5nc(-c6ccc(CC)s6)c(-c6ccc(CC)s6)nc54)c3nc2-c2ccc(CC)s2)s1,CCCCC(CCCCCC)CC(S1)=CC=C1C(C2=C(C(C3=CC=C(S3)CC(CCCCCC)CCCC)=C4S5)C=CS2)=C4C=C5C(S6)=CC=C6C(C=C(C7=NC(C8=CC=C(S8)CCCCCCCC)=C(N=C97)C%10=CC=C(S%10)CCCCCCCC)C(C=C9C%11=CC=CS%11)=C%12N=C%13C%14=CC=C(S%14)CCCCCCCC)=C%12N=C%13C%15=CC=C(S%15)CCCCCCCC
2,ITIC,"ITIC, IT-IC, ITIC-0F",2,PBDTS-NQx,PBDTS-NQx,10.1002/adfm.201701491,0.92,17.86,69.8,11.47,11.02,,sm,fused,7,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCCCC(CCCCCC)CSC1=CC=C(S1)C2=C3C(SC(C4=CC=C(C5=CC6=C7N=C(C8=CC=C(CCCCCCCC)S8)C(C9=CC=C(CCCCCCCC)S9)=NC7=C(C=C6C%10=NC(C%11=CC=C(CCCCCCCC)S%11)=C(C%12=CC=C(CCCCCCCC)S%12)N=C%105)C%13=CC=C(S%13)C%14=CC%15=C(S%14)C(C%16=CC=C(SCC(CCCCCC)CCCC)S%16)=C%17C(SC(C%18=CC=C(C%19=CC%20=C%21N=C(C%22=CC=C(CCCCCCCC)S%22)C(C%23=CC=C(CCCCCCCC)S%23)=NC%21=C(C=C%20C%24=NC(C%25=CC=C(CCCCCCCC)S%25)=C(C%26=CC=C(CCCCCCCC)S%26)N=C%24%19)C%27=CC=C(S%27)C%28=CC%29=C(S%28)C(C%30=CC=C(SCC(CCCCCC)CCCC)S%30)=C%31C(SC(C%32=CC=CS%32)=C%31)=C%29C%33=CC=C(SCC(CCCCCC)CCCC)S%33)S%18)=C%17)=C%15C%34=CC=C(SCC(CCCCCC)CCCC)S%34)S4)=C3)=C(C%35=CC=C(SCC(CCCCCC)CCCC)S%35)C%36=C2SC(C%37=CC=C(C%38=C%39N=C(C%40=CC=C(CCCCCCCC)S%40)C(C%41=CC=C(CCCCCCCC)S%41)=NC%39=C%42C=CC%43=NC(C%44=CC=C(CCCCCCCC)S%44)=C(C%45=CC=C(CCCCCCCC)S%45)N=C%43C%42=C%38)S%37)=C%36,CCSc1ccc(-c2c3cc(-c4ccc(-c5cc6c(cc(-c7ccc(-c8cc9c(-c%10ccc(SCC)s%10)c%10sc(-c%11ccc(-c%12cc%13c(cc(-c%14ccc(-c%15cc%16c(-c%17ccc(SCC)s%17)c%17sc(-c%18ccc(-c%19cc%20c(cc(-c%21cccs%21)c%21nc(-c%22ccc(CC)s%22)c(-c%22ccc(CC)s%22)nc%21%20)c%20nc(-c%21ccc(CC)s%21)c(-c%21ccc(CC)s%21)nc%19%20)s%18)cc%17c(-c%17ccc(SCC)s%17)c%16s%15)s%14)c%14nc(-c%15ccc(CC)s%15)c(-c%15ccc(CC)s%15)nc%14%13)c%13nc(-c%14ccc(CC)s%14)c(-c%14ccc(CC)s%14)nc%12%13)s%11)cc%10c(-c%10ccc(SCC)s%10)c9s8)s7)c7nc(-c8ccc(CC)s8)c(-c8ccc(CC)s8)nc76)c6nc(-c7ccc(CC)s7)c(-c7ccc(CC)s7)nc56)s4)sc3c(-c3ccc(SCC)s3)c3ccsc23)s1,CCCCCCCCC1=CC=C(S1)C2=NC3=CC=C4C(C=C(C5=NC(C6=CC=C(S6)CCCCCCCC)=C(N=C54)C7=CC=C(S7)CCCCCCCC)C8=CC=C(S8)C9=CC%10=C(C%11=C(C(C%12=CC=C(S%12)SCC(CCCCCC)CCCC)=C%10S9)C=C(C%13=CC=CS%13)S%11)C%14=CC=C(S%14)SCC(CCCCCC)CCCC)=C3N=C2C%15=CC=C(S%15)CCCCCCCC
2,ITIC,"ITIC, IT-IC, ITIC-0F",3,PBDB-T,PBDB-T,10.1002/adfm.201705095,0.91,16.27,69,10.21,10.06,,sm,fused,7,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCC(CCCC)CC1=CC=C(S1)C2=C3C(SC(C4=CC=C(S4)C(SC(C5=CC=C(C6=CC7=C(S6)C(C8=CC=C(CC(CCCC)CC)S8)=C9C(SC(C%10=CC=C(S%10)C(SC(C%11=CC=C(C%12=CC%13=C(S%12)C(C%14=CC=C(CC(CCCC)CC)S%14)=C%15C(SC(C%16=CC=C(S%16)C(SC(C%17=CC=CS%17)=C%18C%19=O)=C%18C(C%20=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%20%19)=O)=C%15)=C%13C%21=CC=C(CC(CCCC)CC)S%21)S%11)=C%22C%23=O)=C%22C(C%24=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%24%23)=O)=C9)=C7C%25=CC=C(CC(CCCC)CC)S%25)S5)=C%26C%27=O)=C%26C(C%28=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%28%27)=O)=C3)=C(C%29=CC=C(CC(CCCC)CC)S%29)C%30=C2SC=C%30,CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCCCC(CC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)CC
2,ITIC,"ITIC, IT-IC, ITIC-0F",3,PBDB-T,PBDB-T,10.1002/adma.201600281,0.899,16.81,74.2,11.21,10.68,0.29,sm,fused,7,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCC(CCCC)CC1=CC=C(S1)C2=C3C(SC(C4=CC=C(S4)C(SC(C5=CC=C(C6=CC7=C(S6)C(C8=CC=C(CC(CCCC)CC)S8)=C9C(SC(C%10=CC=C(S%10)C(SC(C%11=CC=C(C%12=CC%13=C(S%12)C(C%14=CC=C(CC(CCCC)CC)S%14)=C%15C(SC(C%16=CC=C(S%16)C(SC(C%17=CC=CS%17)=C%18C%19=O)=C%18C(C%20=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%20%19)=O)=C%15)=C%13C%21=CC=C(CC(CCCC)CC)S%21)S%11)=C%22C%23=O)=C%22C(C%24=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%24%23)=O)=C9)=C7C%25=CC=C(CC(CCCC)CC)S%25)S5)=C%26C%27=O)=C%26C(C%28=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%28%27)=O)=C3)=C(C%29=CC=C(CC(CCCC)CC)S%29)C%30=C2SC=C%30,CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCCCC(CC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)CC
2,ITIC,"ITIC, IT-IC, ITIC-0F",3,PBDB-T,PBDB-T,10.1002/adma.201705209,0.89,17,66,10,9.9,0.5,sm,fused,7,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCC(CCCC)CC1=CC=C(S1)C2=C3C(SC(C4=CC=C(S4)C(SC(C5=CC=C(C6=CC7=C(S6)C(C8=CC=C(CC(CCCC)CC)S8)=C9C(SC(C%10=CC=C(S%10)C(SC(C%11=CC=C(C%12=CC%13=C(S%12)C(C%14=CC=C(CC(CCCC)CC)S%14)=C%15C(SC(C%16=CC=C(S%16)C(SC(C%17=CC=CS%17)=C%18C%19=O)=C%18C(C%20=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%20%19)=O)=C%15)=C%13C%21=CC=C(CC(CCCC)CC)S%21)S%11)=C%22C%23=O)=C%22C(C%24=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%24%23)=O)=C9)=C7C%25=CC=C(CC(CCCC)CC)S%25)S5)=C%26C%27=O)=C%26C(C%28=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%28%27)=O)=C3)=C(C%29=CC=C(CC(CCCC)CC)S%29)C%30=C2SC=C%30,CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCCCC(CC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)CC
2,ITIC,"ITIC, IT-IC, ITIC-0F",3,PBDB-T,PBDB-T,10.1002/aenm.201903650,0.87,15.45,57,7.8,7.5,0.3,sm,fused,7,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C45)C=%10SC=%11C=C(SC%11C%10C7(C%12=CC=C(C=C%12)CCCCCC)C%13=CC=C(C=C%13)CCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCC(CCCC)CC1=CC=C(S1)C2=C3C(SC(C4=CC=C(S4)C(SC(C5=CC=C(C6=CC7=C(S6)C(C8=CC=C(CC(CCCC)CC)S8)=C9C(SC(C%10=CC=C(S%10)C(SC(C%11=CC=C(C%12=CC%13=C(S%12)C(C%14=CC=C(CC(CCCC)CC)S%14)=C%15C(SC(C%16=CC=C(S%16)C(SC(C%17=CC=CS%17)=C%18C%19=O)=C%18C(C%20=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%20%19)=O)=C%15)=C%13C%21=CC=C(CC(CCCC)CC)S%21)S%11)=C%22C%23=O)=C%22C(C%24=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%24%23)=O)=C9)=C7C%25=CC=C(CC(CCCC)CC)S%25)S5)=C%26C%27=O)=C%26C(C%28=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%28%27)=O)=C3)=C(C%29=CC=C(CC(CCCC)CC)S%29)C%30=C2SC=C%30,CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1,CCCCC(CC1=CC=C(S1)C2=C3C=C(SC3=C(C4=C2SC=C4)C5=CC=C(S5)CC(CCCC)CC)C6=CC=C(S6)C7=C(C(C8=C(SC(CC(CCCC)CC)=C8C9=O)CC(CCCC)CC)=O)C9=C(C%10=CC=CS%10)S7)CC
